# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 180  of event 'cpu_core/cache-misses/'
# Event count (approx.): 455329
#
# Overhead,Command        ,Shared Object       ,Symbol                              
 0.13%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] up_read
 0.13%  ,run_benchmark.s,bash                ,[.] extract_colon_unit
 0.13%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __alloc_pages
 0.13%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] sync_regs
 0.12%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] percpu_counter_add_batch
 0.12%  ,run_benchmark.s,bash                ,[.] 0x0000000000111cb0
 0.11%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] pte_mkwrite
 0.11%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __pte_offset_map_lock
 0.11%  ,matrix_avx_app ,matrix_avx_app      ,[.] init_matrices
 0.10%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] irqentry_exit_to_user_mode
 0.10%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] intel_cpuc_finish
 0.10%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] next_uptodate_folio
 0.10%  ,run_benchmark.s,libc.so.6           ,[.] re_compile_internal
 0.09%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] filemap_map_pages
 0.09%  ,matrix_avx_app ,libc.so.6           ,[.] __wmemchr_ifunc
 0.09%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] pud_val
 0.09%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] native_flush_tlb_one_user
 0.09%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] tlb_finish_mmu
 0.09%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] intel_pmu_bts_config
 0.08%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] xas_find
 0.08%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __srcu_read_unlock
 0.08%  ,matrix_avx_app ,ld-linux-x86-64.so.2,[.] _dl_relocate_object
 0.06%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] _raw_spin_unlock_irqrestore
 0.06%  ,run_benchmark.s,libc.so.6           ,[.] __strcpy_chk
 0.06%  ,run_benchmark.s,bash                ,[.] execute_command_internal
 0.06%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __kmem_cache_alloc_bulk
 0.06%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] acct_collect
 0.05%  ,run_benchmark.s,bash                ,[.] make_word_flags
 0.05%  ,run_benchmark.s,libc.so.6           ,[.] __btowc
 0.04%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] count_memcg_events.constprop.0
 0.04%  ,run_benchmark.s,bash                ,[.] 0x0000000000086bd7
 0.04%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] kmem_cache_alloc
 0.04%  ,run_benchmark.s,bash                ,[.] 0x00000000000874eb
 0.03%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] free_pgtables
 0.03%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] mas_prev_slot
 0.03%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __slab_free
 0.03%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] syscall_exit_to_user_mode
 0.03%  ,run_benchmark.s,bash                ,[.] execute_command
 0.03%  ,run_benchmark.s,bash                ,[.] 0x000000000008750f
